year,original_ap_score,logit_ap_score,rf_ap_score,xgb_ap_score
1995,0.19347704640930247,0.25125673358389755,0.22314059022198304,0.26677335149579184
1996,0.21352070492698755,0.23963772050225204,0.2519655219449922,0.22225157365490283
1997,0.34801458380631006,0.4035458470061857,0.36365756165210833,0.3833551263088423
1998,0.22102770942378774,0.22931026748213157,0.25015226095418097,0.2354760442575835
1999,0.36593659336880485,0.3441366856240669,0.3491564406092238,0.396083852969109
2000,0.29070509781578496,0.13549465520683568,0.31293583715294904,0.30994351676794163
2001,0.30333611728335086,0.30616187336229933,0.3028907848714303,0.27953587998955043
2002,0.3736524063424776,0.36757848033880774,0.34422302193607907,0.3915107519523989
2003,0.4239300175241792,0.398141225667876,0.25889257666552573,0.2481479752230467
2004,0.2748281862021805,0.2974661776121761,0.26980406148646263,0.21006684449835783
2005,0.23349243961071176,0.19260225974351514,0.18445234120693066,0.19564217665191763
2006,0.387985270918068,0.3968554632372228,0.22799509265743786,0.30007096080382684
2007,0.4709106049863586,0.45329416512534054,0.28148842994922785,0.3872453542640953
2008,0.2307142080011576,0.21946233387582362,0.26252275224405464,0.22551876286443925
