state,original_ap_score,logit_ap_score
Alabama,0.14791220145962242,0.13104826781688922
Alaska,0.07899212669384843,0.0822115307860757
Arizona,0.14348441959803848,0.14335746315687212
Arkansas,0.18612665068622047,0.19805938063022788
California,0.07135879867976941,0.07163127467985736
Colorado,0.060715970085271506,0.05536231029060109
Connecticut,0.2583096508578218,0.25855517563965075
Delaware,0.09420674011927826,0.10418345701105342
Florida,0.18452676571941248,0.19494506049955165
Georgia,0.1919610917379748,0.1892466261456751
Hawaii,0.028870156758355515,0.03138376922563776
Idaho,0.15959359094320721,0.15575810731257633
Illinois,0.18276076565555896,0.17583473497888388
Indiana,0.2580294974032311,0.24738160280531304
Iowa,0.15314435118184624,0.14877830456060873
Kansas,0.061993651120485035,0.06083920331977507
Kentucky,0.12515213042898682,0.12132901551542113
Louisiana,0.20307242846245588,0.1983957233005078
Maine,0.12636551486006453,0.12607149625975025
Maryland,0.09531747395287507,0.09915016908063157
Massachusetts,0.0486869356443823,0.049207423620027356
Michigan,0.23582081081191789,0.19564579782068056
Minnesota,0.0639587873549382,0.05686001145548695
Mississippi,0.18348468612255375,0.17710247141562138
Missouri,0.19536193723726353,0.1883362770704545
Montana,0.20445132099744243,0.2128102711305985
Nebraska,0.2235978912958208,0.24146543988635893
Nevada,0.11915282110901901,0.13062693226532696
New_Hampshire,0.050981376035371714,0.05022057453828477
New_Jersey,0.11617023640865284,0.1168400354155083
New_Mexico,0.16569772402663652,0.1655948205071892
New_York,0.09730540701128937,0.09750157023269833
North_Carolina,0.05013489208416327,0.04910842523946005
North_Dakota,0.15196536915311692,0.1433193743882364
Ohio,0.18133725827919953,0.18312192708508743
Oklahoma,0.27592183356123107,0.2713431819355897
Oregon,0.3504605859257022,0.3504580311112672
Pennsylvania,0.09554265218656853,0.07014361759648663
Rhode_Island,0.06432567648739562,0.06285189327051918
South_Carolina,0.22819601885397445,0.21167599467746712
South_Dakota,0.055903366945983135,0.0525945350152158
Tennessee,0.30500338781633035,0.2790333977993566
Texas,0.08519684864692734,0.08514634734609612
Utah,0.17977222701895892,0.17705390660949905
Vermont,0.016552464341841808,0.016365082987272597
Virginia,0.1016731116046474,0.0964021426749337
Washington,0.05318845900643135,0.05366452601107333
West_Virginia,0.0775994987136855,0.07587307520405223
Wisconsin,0.12865571877509333,0.12865590762444437
Wyoming,0.012728103517496335,0.012640985023652351
