state,original_ap_score,logit_ap_score
AK,0.08638341494133538,0.08818526716706372
AL,0.09170989748258432,0.09221197058473733
AR,0.12326984278174018,0.12269420171634422
AZ,0.13591826235256688,0.13592312400083972
CA,0.08288839880097293,0.08295818016885188
CO,0.12375821380232112,0.12358552435339432
CT,0.0986195465180699,0.09736683604849129
DE,0.11311272791660723,0.11333251072782248
FL,0.093075980047424,0.0928226207747096
GA,0.11145322941358886,0.11106678897412363
HI,0.10039619028843154,0.10038893703030738
IA,0.12845586217886168,0.12816035364131365
ID,0.10848552027970859,0.10858831139277715
IL,0.12505889291030686,0.12511259687784998
IN,0.10424130684377551,0.10406524520304296
KS,0.13420027439494636,0.13421108422446099
KY,0.13796295499037795,0.14042835119472064
LA,0.08699342337683852,0.08768245245101085
MA,0.0985516842097743,0.09841454586718273
MD,0.12556552576264152,0.12532060762936345
ME,0.0986350763242084,0.09817055825421694
MI,0.1027633156627322,0.10276681281040445
MN,0.1151637901918896,0.11457662837829102
MO,0.12353073457133722,0.12287485990763951
MS,0.10733790867675992,0.10815546989221375
MT,0.13899868174384622,0.13838569407817033
NC,0.11953291239151342,0.11863459443463088
ND,0.12264115455400344,0.12152226327417809
NE,0.09846753439590643,0.09837450725382679
NH,0.09221418089968145,0.09367081063661975
NJ,0.1459186320717566,0.14674373333327195
NM,0.15454881962745867,0.15430444479826036
NV,0.1464187220081337,0.14342162888506038
NY,0.10887091218674451,0.1065172451407199
OH,0.12359546319838416,0.12407365856644999
OK,0.10012419416673038,0.10137860075985154
OR,0.15977621505034814,0.1591172515908439
PA,0.12931258758958974,0.12981505642301877
RI,0.12777743628057933,0.1282660288271602
SC,0.1145907618006686,0.11532226628453311
SD,0.11019680042108403,0.11035986931977125
TN,0.1194693887536373,0.11906957191142407
TX,0.12284265048458395,0.12293088324941802
UT,0.13982064265037655,0.13992771898895046
VA,0.1012091816048214,0.1014437930721509
VT,0.10812634764578316,0.10915022322691138
WA,0.12437941106482009,0.12457567536662413
WI,0.09955839141645362,0.09958714170645216
WV,0.05219864795050187,0.05283840800421458
WY,0.10298480509282536,0.10212312919098387
